timestamp,cpu_percent,ram_percent,battery_percent,plugged,idle_time_sec,hour,cpu_freq_mhz,net_sent_rate,net_recv_rate,label
2025-06-07 12:17:59,30.0,93.1,100,1,0.156,12,1520.0,0.0,0.0,1
2025-06-07 12:18:29,10.5,90.5,100,1,20.375,12,2000.0,1620.9,4965.466666666666,1
2025-06-07 12:18:59,11.7,87.5,100,1,6.906,12,1520.0,799.6666666666666,3709.2,1
2025-06-07 12:19:29,9.2,86.2,100,1,36.937,12,2000.0,946.0,4224.3,1
2025-06-07 12:19:59,10.0,84.0,100,1,66.953,12,2000.0,1744.4333333333334,5597.433333333333,1
2025-06-07 12:20:29,10.3,84.2,100,1,96.984,12,2000.0,1212.2333333333333,4230.533333333334,1
2025-06-07 12:20:59,8.9,84.2,100,1,127.016,12,2000.0,827.3666666666667,3714.1,1
2025-06-07 12:21:29,8.2,84.4,100,1,157.047,12,2000.0,632.5333333333333,3521.4,1
2025-06-07 12:21:59,8.3,84.4,100,1,187.062,12,1520.0,1869.5333333333333,7007.933333333333,1
2025-06-07 12:22:29,8.0,84.6,100,1,217.094,12,2000.0,704.2,4167.366666666667,1
2025-06-07 12:22:59,9.3,85.4,100,1,247.125,12,2000.0,1218.1666666666667,4568.133333333333,1
2025-06-07 12:23:29,11.2,87.1,100,1,4.375,12,2000.0,3441.5,9298.2,1
2025-06-07 12:23:59,7.3,86.9,100,1,34.406,12,2000.0,834.8666666666667,4459.2,1
2025-06-07 12:24:29,6.1,86.5,100,1,64.421,12,2000.0,802.2,4152.4,1
2025-06-07 12:25:00,6.1,84.8,100,1,94.453,12,2000.0,799.5333333333333,4521.133333333333,1
2025-06-07 12:25:30,5.8,85.0,100,1,124.468,12,2000.0,899.4333333333333,4232.466666666666,1
2025-06-07 12:26:00,5.8,85.5,100,1,154.5,12,2000.0,1002.3666666666667,4709.533333333334,1
2025-06-07 12:26:30,6.1,84.9,100,1,184.515,12,1520.0,946.8666666666667,5015.833333333333,1
2025-06-07 12:27:00,5.8,84.8,100,1,214.546,12,1520.0,625.7,5867.6,1
2025-06-07 12:27:30,6.2,85.5,100,1,244.562,12,2000.0,579.6,3796.233333333333,1
2025-06-07 12:28:00,5.2,85.5,100,1,274.593,12,2000.0,777.8666666666667,4997.766666666666,1
2025-06-07 12:28:30,7.5,89.4,100,1,304.625,12,2000.0,577.4666666666667,3838.8,0
2025-06-07 12:51:42,0.4,85.4,100,1,0.453,12,2000.0,5468.866666666667,240890.36666666667,1
2025-06-07 12:52:12,31.1,86.0,100,1,0.219,12,2000.0,15379.233333333334,38625.2,1
2025-06-07 12:52:42,21.0,91.4,100,1,0.0,12,2000.0,17079.8,47189.46666666667,1
2025-06-07 12:53:12,14.4,89.6,100,1,0.0,12,2000.0,26189.4,288675.0,1
2025-06-07 12:53:42,12.7,91.1,100,1,0.891,12,2000.0,17554.566666666666,95515.13333333333,1
2025-06-07 12:54:12,17.9,91.8,100,1,0.016,12,2000.0,17165.633333333335,278964.9666666667,1
2025-06-07 12:54:42,24.0,91.7,100,1,0.235,12,2000.0,41491.46666666667,169073.93333333332,1
2025-06-07 12:55:12,11.6,87.1,100,1,0.516,12,1520.0,7471.666666666667,92675.03333333334,1
2025-06-07 12:55:42,10.6,87.9,100,1,2.141,12,2000.0,2884.0333333333333,6742.7,1
2025-06-07 12:56:13,9.9,85.4,100,1,0.453,12,2000.0,2014.8333333333333,5753.866666666667,1
2025-06-07 12:56:43,11.7,85.4,100,1,0.0,12,2000.0,5058.8,58144.3,1
2025-06-07 12:57:13,10.0,84.5,100,1,0.391,12,2000.0,1597.5,6182.9,1
2025-06-07 12:57:43,11.5,86.0,100,1,1.531,12,2000.0,23198.4,226992.93333333332,1
2025-06-07 12:58:13,10.9,82.3,100,1,0.0,12,2000.0,7855.833333333333,43138.566666666666,1
2025-06-07 12:58:43,12.2,85.9,100,1,0.782,12,2000.0,28796.2,450271.8,1
2025-06-07 12:59:13,10.9,84.0,100,1,0.0,12,1520.0,2939.866666666667,8733.433333333332,1
2025-06-07 12:59:43,10.0,89.5,100,1,0.5,12,2000.0,6059.133333333333,167086.26666666666,1
2025-06-07 13:00:13,9.0,91.5,100,1,0.375,13,2000.0,3399.366666666667,22886.366666666665,1
